Category,Command,Purpose
SERVICES,kubectl get endpoints <service-name>,Display service endpoints (pod IPs)
SERVICES,kubectl delete service <service-name>,Remove a service
SERVICES,kubectl port-forward service/<service-name> <local>:<svc>,Forward local port to service port
CONFIGMAPS,kubectl get configmaps,Display all ConfigMaps in current namespace
CONFIGMAPS,kubectl create configmap <name> --from-literal=<key>=<val>,Create ConfigMap with key-value pairs
CONFIGMAPS,kubectl create configmap <name> --from-file=<file-path>,Create ConfigMap from file contents
CONFIGMAPS,kubectl describe configmap <configmap-name>,Show ConfigMap data and metadata
CONFIGMAPS,kubectl edit configmap <configmap-name>,Edit ConfigMap in default editor
SECRETS,kubectl get secrets,Display all secrets in current namespace
SECRETS,kubectl create secret generic <name> --from-literal=<k>=<v>,Create generic secret with key-value pairs
SECRETS,kubectl create secret generic <name> --from-file=<file>,Create secret from file contents
SECRETS,kubectl create secret tls <name> --cert=<cert> --key=<key>,Create TLS secret for HTTPS
SECRETS,kubectl describe secret <secret-name>,Show secret metadata without exposing values
SECRETS,"kubectl get secret <name> -o jsonpath='{.data.<key>}' | base64 --decode",Decode and display secret values
PERSISTENT VOLUMES,kubectl get persistentvolumes,Display all persistent volumes in cluster
PERSISTENT VOLUMES,kubectl get persistentvolumeclaims,Display PVCs in current namespace
PERSISTENT VOLUMES,kubectl describe pv <pv-name>,Show detailed persistent volume information
PERSISTENT VOLUMES,kubectl describe pvc <pvc-name>,Show detailed persistent volume claim information
PERSISTENT VOLUMES,kubectl apply -f <pvc-file.yaml>,Create persistent volume claim from YAML
PERSISTENT VOLUMES,kubectl delete pvc <pvc-name>,Remove persistent volume claim
INGRESS,kubectl get ingress,Display all ingress resources in current namespace
INGRESS,kubectl describe ingress <ingress-name>,Show detailed ingress configuration and rules
INGRESS,kubectl apply -f <ingress-file.yaml>,Create ingress resource from YAML file
INGRESS,kubectl delete ingress <ingress-name>,Remove ingress resource
JOBS & CRONJOBS,kubectl get jobs,Display all jobs in current namespace
JOBS & CRONJOBS,kubectl get cronjobs,Display all cronjobs in current namespace
JOBS & CRONJOBS,kubectl apply -f <job-file.yaml>,Create job from YAML file
JOBS & CRONJOBS,kubectl describe job <job-name>,Show detailed job information and status
JOBS & CRONJOBS,kubectl describe cronjob <cronjob-name>,Show detailed cronjob information and schedule
JOBS & CRONJOBS,kubectl delete job <job-name>,Remove job and its pods
JOBS & CRONJOBS,kubectl delete cronjob <cronjob-name>,Remove cronjob
RBAC,kubectl get roles,Display roles in current namespace
RBAC,kubectl get clusterroles,Display cluster-wide roles
RBAC,kubectl get rolebindings,Display role bindings in current namespace
RBAC,kubectl get clusterrolebindings,Display cluster-wide role bindings
RBAC,kubectl auth can-i <verb> <resource>,Check if current user can perform action on resource
RBAC,kubectl auth can-i <verb> <resource> --as=<username>,Check permissions for another user
RBAC,kubectl create role <name> --verb=<verbs> --resource=<res>,Create role with specific permissions
RBAC,kubectl create rolebinding <name> --role=<role> --user=<user>,Bind role to user in current namespace
TROUBLESHOOTING,kubectl get events --sort-by=.metadata.creationTimestamp,View recent cluster events sorted by time
TROUBLESHOOTING,kubectl get events -n <namespace>,View events in specific namespace
TROUBLESHOOTING,kubectl describe <resource-type> <resource-name>,Get detailed information about any resource
TROUBLESHOOTING,kubectl get <resource-type> <resource-name> -o yaml,View complete resource configuration in YAML
TROUBLESHOOTING,kubectl get <resource-type> <resource-name> -o json,View resource configuration in JSON format
TROUBLESHOOTING,kubectl logs <pod-name> --previous,View logs from previous container instance
TROUBLESHOOTING,kubectl debug <pod-name> -it --image=busybox,Create debug container attached to pod
TROUBLESHOOTING,kubectl run debug-pod --image=busybox -it --rm -- sh,Create temporary pod for cluster debugging
TROUBLESHOOTING,kubectl top nodes,Display CPU usage for nodes (requires metrics-server)
TROUBLESHOOTING,kubectl top pods,Display CPU usage for pods (requires metrics-server)
RESOURCE MANAGEMENT,kubectl apply -f <file.yaml>,Create or update resources from YAML file
RESOURCE MANAGEMENT,kubectl apply -f <directory>/,Apply all YAML files in specified directory
RESOURCE MANAGEMENT,kubectl delete -f <file.yaml>,Delete resources defined in YAML file
RESOURCE MANAGEMENT,kubectl replace -f <file.yaml>,Replace existing resource with new configuration
RESOURCE MANAGEMENT,"kubectl patch <resource-type> <name> -p '<patch>'",Update specific fields of a resource
RESOURCE MANAGEMENT,kubectl edit <resource-type> <resource-name>,Edit resource configuration in default editor
RESOURCE MANAGEMENT,kubectl label <resource-type> <name> <key>=<val>,Add or update labels on resources
RESOURCE MANAGEMENT,kubectl annotate <resource-type> <name> <key>=<val>,Add or update annotations on resources
RESOURCE MANAGEMENT,kubectl get <resource-type> --show-labels,Display resources with their labels
RESOURCE MANAGEMENT,kubectl get <resource-type> -l <label-selector>,Get resources matching label selector
CONTEXT & CONFIG,kubectl config current-context,Display currently active context
CONTEXT & CONFIG,kubectl config get-contexts,Show all available contexts
CONTEXT & CONFIG,kubectl config use-context <context-name>,Change to different cluster context
CONTEXT & CONFIG,kubectl config view,Display current kubeconfig configuration
CONTEXT & CONFIG,kubectl config set-context --current --namespace=<ns>,Set default namespace for current context
CONTEXT & CONFIG,kubectl config set-context <name> --cluster=<c> --user=<u>,Create new context configuration
CONTEXT & CONFIG,kubectl config delete-context <context-name>,Remove context from kubeconfig
CONTEXT & CONFIG,kubectl config set-cluster <name> --server=<url>,Add or update cluster configuration
CONTEXT & CONFIG,kubectl config set-credentials <user> --token=<token>,Add or update user credentials
USEFUL FLAGS,-o wide,Show additional columns in output
USEFUL FLAGS,-o yaml,Output resource in YAML format
USEFUL FLAGS,-o json,Output resource in JSON format
USEFUL FLAGS,--dry-run=client,Preview command without executing
USEFUL FLAGS,--all-namespaces / -A,Apply to all namespaces
USEFUL FLAGS,-n <namespace>,Specify namespace for command
USEFUL FLAGS,-l <selector>,Filter by label selector
USEFUL FLAGS,--show-labels,Display labels in output
USEFUL FLAGS,-w,Watch for changes in real-time
USEFUL FLAGS,-f,Follow (tail) logs continuously
USEFUL FLAGS,--force,Force operation
USEFUL FLAGS,--grace-period=0,Immediate deletion with no grace period
